YEAR,MONTH,DAY,HOUR,PM10(ug/m3),WS(m/s),WD(°),TEMP(°C),HR(%)
2022,AGO,1,0,15,3.33,89.33,19,61.22
2022,AGO,1,1,19,3.14,89.43,18,66.68
2022,AGO,1,2,16,2.34,84.28,17,71.16
2022,AGO,1,3,9,2.89,83.59,16,74.17
2022,AGO,1,4,13,3.72,68.65,16,76.17
2022,AGO,1,5,13,3.63,77.08,16,75.46
2022,AGO,1,6,16,2.27,91.45,15,76.46
2022,AGO,1,7,25,2.69,102.4,16,77.69
2022,AGO,1,8,26,2.55,103.42,16,74.8
2022,AGO,1,9,22,3.47,86.26,19,64.2
2022,AGO,1,10,21,4.63,79.74,21,55.29
2022,AGO,1,11,16,4.04,89.21,23,47.86
2022,AGO,1,12,14,3.26,71.6,25,41.91
2022,AGO,1,13,9,3,104.49,26,37.73
2022,AGO,1,14,7,3.04,111.94,27,32.64
2022,AGO,1,15,6,3.33,120.48,28,32.04
2022,AGO,1,16,10,2.95,129.84,28,31.54
2022,AGO,1,17,9,2.47,118.19,28,30.85
2022,AGO,1,18,20,3.89,76.4,27,34.15
2022,AGO,1,19,25,3.48,252.85,24,44.56
2022,AGO,1,20,28,4.32,155.45,21,58.76
2022,AGO,1,21,21,3.36,196.04,16,81.69
2022,AGO,1,22,11,3.16,186.25,15,92.41
2022,AGO,1,23,7,1.38,228.35,15,95.6
2022,AGO,2,0,8,1.23,115.09,15,96.08
2022,AGO,2,1,20,1.17,197.65,15,96.69
2022,AGO,2,2,15,1.29,139.8,15,95.35
2022,AGO,2,3,10,1.02,125.72,15,95.45
2022,AGO,2,4,11,1.53,213.7,15,95.61
2022,AGO,2,5,10,2.14,299.71,15,97.31
2022,AGO,2,6,12,2.42,278.56,15,97.2
2022,AGO,2,7,15,2.18,263.21,15,97.52
2022,AGO,2,8,17,2.14,307.09,16,97.3
2022,AGO,2,9,18,1.37,274.8,17,95.78
2022,AGO,2,10,18,1.76,170.57,20,88.83
2022,AGO,2,11,25,2.3,121.59,22,77.78
2022,AGO,2,12,32,2.56,106.46,23,64.64
2022,AGO,2,13,28,2.2,163.75,26,52.61
2022,AGO,2,14,24,2.6,159.2,27,46.48
2022,AGO,2,15,12,2.44,167.06,28,41.96
2022,AGO,2,16,8,2.65,185.73,28,40.13
2022,AGO,2,17,11,2.89,171.05,28,40.61
2022,AGO,2,18,11,2.64,122.16,27,41.3
2022,AGO,2,19,35,3.44,253.24,23,52.38
2022,AGO,2,20,29,1.69,187.51,22,60.59
2022,AGO,2,21,37,3.8,108.23,21,60.69
2022,AGO,2,22,32,2.4,151.21,19,62.55
2022,AGO,2,23,26,2.92,104.66,18,70.41
2022,AGO,3,0,24,2.65,103.94,18,78.9
2022,AGO,3,1,23,2.04,93.21,17,83.52
2022,AGO,3,2,11,2.49,85.81,17,82.93
2022,AGO,3,3,21,1.97,90.13,17,84.1
2022,AGO,3,4,20,1.36,140.69,16,86.04
2022,AGO,3,5,25,2.26,128.2,16,87.48
2022,AGO,3,6,32,2.25,117.61,16,89.25
2022,AGO,3,7,35,2.34,138.21,16,88.69
2022,AGO,3,8,38,2.11,98.32,17,87.55
2022,AGO,3,9,29,2.39,125.58,22,72.36
2022,AGO,3,10,24,3.16,111.24,23,60.22
2022,AGO,3,11,27,2.7,130.08,25,52.1
2022,AGO,3,12,18,2.08,165.15,27,46.23
2022,AGO,3,13,22,2.01,223.47,26,45.31
2022,AGO,3,14,17,2.67,245.69,27,43.27
2022,AGO,3,15,12,3.01,258.6,28,40.87
2022,AGO,3,16,16,2.72,256.35,29,37.24
2022,AGO,3,17,15,2.9,252.55,28,36.58
2022,AGO,3,18,19,3.61,268.82,27,42.28
2022,AGO,3,19,38,3.47,286.08,21,65.74
2022,AGO,3,20,22,2.1,270.84,22,63.56
2022,AGO,3,21,33,2.06,299.79,21,60.66
2022,AGO,3,22,39,2.35,226.65,21,64.77
2022,AGO,3,23,34,2.11,100.7,19,74.39
2022,AGO,4,0,23,1.79,100.55,18,84.34
2022,AGO,4,1,21,2.23,110.05,18,83.26
2022,AGO,4,2,30,1.84,120.87,17,83.86
2022,AGO,4,3,21,1.26,160.28,16,82.75
2022,AGO,4,4,19,1.1,96.9,16,83.54
2022,AGO,4,5,33,1.44,122.08,16,83.97
2022,AGO,4,6,45,1.64,143.76,16,85.62
2022,AGO,4,7,50,1.67,119.55,16,88.25
2022,AGO,4,8,40,2.09,125.09,17,85.31
2022,AGO,4,9,38,2.4,111.45,18,78.57
2022,AGO,4,10,44,2.08,148.35,21,70.55
2022,AGO,4,11,41,1.85,153.43,24,59
2022,AGO,4,12,28,2.02,178.49,25,52.96
2022,AGO,4,13,35,2.36,254.96,27,45.05
2022,AGO,4,14,14,2.49,259.23,28,40.62
2022,AGO,4,15,NA,2.93,253.53,29,36.67
2022,AGO,4,16,10,2.62,240.94,29,34.44
2022,AGO,4,17,24,3.04,257.38,29,33.27
2022,AGO,4,18,36,3.85,265.38,28,37.81
2022,AGO,4,19,32,3.93,279.76,24,56.96
2022,AGO,4,20,24,2.55,286.68,21,73.46
2022,AGO,4,21,30,2.14,305.15,20,73.99
2022,AGO,4,22,33,2.73,205.83,20,72.42
2022,AGO,4,23,22,2.07,174.52,19,66.57
2022,AGO,5,0,21,2.25,91.11,17,70.2
2022,AGO,5,1,30,1.98,119.13,17,74.99
2022,AGO,5,2,32,1.94,119.99,16,80.3
2022,AGO,5,3,20,2.69,107.4,16,84.33
2022,AGO,5,4,21,1.22,196.35,15,85.53
2022,AGO,5,5,29,1.18,108.36,15,85.44
2022,AGO,5,6,29,1.74,156.87,15,84.96
2022,AGO,5,7,34,2.38,141.62,15,85.62
2022,AGO,5,8,42,2.54,122.42,18,78.57
2022,AGO,5,9,45,2.83,100.2,21,65.66
2022,AGO,5,10,41,3.64,109.86,23,55.01
2022,AGO,5,11,31,3.53,109.09,24,49.1
2022,AGO,5,12,29,2.97,119.16,25,44.08
2022,AGO,5,13,22,2.98,111.62,27,38.05
2022,AGO,5,14,20,3.22,119.57,27,33.13
2022,AGO,5,15,24,2.86,140.2,28,31.12
2022,AGO,5,16,9,3,127.22,29,29.23
2022,AGO,5,17,NA,NA,NA,NA,NA
2022,AGO,5,18,NA,NA,NA,NA,NA
2022,AGO,5,19,8,2.88,63.47,26,29.94
2022,AGO,5,20,14,4.19,67.36,25,32.33
2022,AGO,5,21,28,3.46,77.37,23,42.33
2022,AGO,5,22,38,3.41,98.9,21,52.78
2022,AGO,5,23,40,2.95,114.83,19,60.9
2022,AGO,6,0,42,3.18,95.97,18,60.44
2022,AGO,6,1,23,3.38,81.64,17,57.57
2022,AGO,6,2,22,3.83,77.12,16,66.38
2022,AGO,6,3,27,3.16,76.73,16,65.63
2022,AGO,6,4,26,2.74,97.37,15,66.74
2022,AGO,6,5,31,1.98,118.08,14,71.68
2022,AGO,6,6,36,2.12,133.39,13,77.44
2022,AGO,6,7,48,2.57,112.59,14,81.26
2022,AGO,6,8,57,2.49,88.73,17,72.48
2022,AGO,6,9,48,4.6,86.42,20,61.17
2022,AGO,6,10,44,4.97,94.57,21,54.78
2022,AGO,6,11,37,3.69,83.77,23,49.24
